,titles,,
0,"'신사와 아가씨' 이세희, 지현우 직진 고백 삼세번에 흔들렸다(종합)||||'신사와 아가씨' 지현우♥이세희, 고백했지만 마음 엇갈렸다 [전일야화]||||'신사와 아가씨' 시청률, 2주 연속 자체 최고치 경신…33% 돌파||||[어게인TV]지현우 ""내 영혼에 온통 이세희""…박하나와 약혼 앞두고 고백(신사와 아가씨)||||'신사와 아가씨' 지현우 사기 약혼, 이세희 아닌 아이들이 막나 [어제TV]",'33%','33'
1,"국민의힘, '당직자 폭행' 송언석 징계 절차 착수||||국민의힘, 송언석 사과에도 '당직자 폭행' 징계키로||||당직자 발길질 송언석 징계 수순…주호영 ""주내 윤리위 회부""||||국민의힘, '당직자 폭행' 송언석 윤리위 회부…징계 절차 착수||||'당직자 폭행' 송언석 징계 절차 착수…주호영 ""이번 주 윤리위 회부""",,
2,"""저를 기억해 주세요""…'이십세기 힛-트쏭' 故서지원, 세상 떠나기 전 음성 메시지||||'이십세기 힛-트쏭' 故김성재→故서지원, 별이 된 ★들 추억 소환||||""저를 기억해 주세요""…故서지원이 남긴 음성 메시지 (이십세기 힛-트쏭)||||'이십세기 힛-트쏭' 故서지원, 사망 전 남긴 음성 메시지…""저를 기억해 주세요"" 눈물||||'이십세기 힛-트쏭' 故 김성재, '말하자면'에 얽힌 이현도와의 감춰진 사연은?",,
3,"부천 발레학원서 초등생 13명 집단감염…4개 초교 검사진행||||부천 발레학원 어린이 13명 집단감염…""강사 전파 추정""(종합)||||부천 무용학원서 강사 1명·초등생 13명 코로나19 확진||||""부천 발레학원에서 무슨 일이""…어린이 원생 13명 집단감염||||확진 진앙지된 부천 무용학원…13명 감염에 주변 초교 비상",'13명'||||'13명'||||'13명'||||'13명'||||'13명','13'||||'13'||||'13'||||'13'||||'13'
4,"정부 ""모더나 600만회분 공급일정 협의…계약서 확약 상태는 아냐""||||모더나 600만회분 이번주 온다더니…정부 ""계약서 쓴 건 아냐, 일정 협의중""(종합)||||정부 ""모더나 600만회분 공급은 확정된 것…도입 시 발표""||||""모더나 600만 회 일정 협의""…추석 대책, 3일에 발표||||이번주 온다던 모더나 600만회분…정부 ""아직 협의 중""",'600만회'||||'600만회'||||'600만회'||||'600만 회'||||'600만회',"'6,000,000'||||'6,000,000'||||'6,000,000'||||'6,000,000'||||'6,000,000'"
5,"문 대통령 ""간병인·보호자 PCR 검사비 완화 방안 모색하라""(종합)||||文대통령 ""간병인·보호자 PCR검사비 완화방안 모색하라""||||문 대통령 ""간병인·보호자 PCR 비용 부담 완화 방법 모색""||||文대통령 ""간병인·보호자 PCR 비용 부담 완화 방법 모색""||||文대통령 ""간병인·보호자 PCR 검사비용 부담 완화 모색하라""",,
6,"빈대떡 신사, 3연승 성공…천둥호랑이 정체는 김용준 (복면가왕) [종합]||||[종합] '복면가왕' 빈대떡 신사, '클라스 입증' 가왕 방어전 성공…SG워너비 김용준 ""감사한 무대였다"" 가왕 도전||||'복면' 빈대떡신사, 천둥호랑이 김용준 꺾고 3연승 가왕 등극 [종합]||||'복면가왕' 빈대떡 신사, 3연승 성공…원썬&#x00B7;나다&#x00B7;박현우&#x00B7;김용준 정체에 '깜짝' [종합]||||'복면가왕' 빈대떡 신사 3연승, 김용준 아쉽게 패배 [종합]",,
7,"신규확진 2천771명, 두번째 규모 대확산 우려…누적 30만명 넘어(종합)||||코로나 신규 확진 2771명…주말에도 역대 두 번째 규모||||주말에도 코로나 신규확진 2771명…백신 1차 접종률 74.1%||||확진 2771명, 역대 두번째…주말에도 검사량은 평일만큼 늘어(종합)||||코로나19 신규 확진자 2771명…전국적 대확산 우려[종합]",'2천771명'||||'30만명'||||'2771명'||||'2771명'||||'74.1%'||||'2771명'||||'2771명',"'2,771'||||'300,000'||||'2771'||||'2771'||||'74.1'||||'2771'||||'2771'"
8,"한지혜 ""남편, 문어 태몽 꿨다""→기태영 ""딸 로희, 아빠 늙는 게 싫다며 눈물"" ('편스토랑')[종합]||||'편스토랑' 이경규, 25대 출시메뉴 '돈규덮밥' 최종우승(종합)||||기태영♥유진 딸 로린, 블랙핑크 보며 깜찍 댄스…""엄마 DNA 있어"" ('편스토랑')||||유진♥기태영 딸 로린, 깜찍 블랙핑크 변신 ""요정 DNA 못 속여""(편스토랑)||||'편스토랑' 한지혜, 제주 3대 흑돼지 집에서의 마지막 만찬…이민정X오윤아도 단골",,
9,"앞에선 '시민 감시단'…뒤로는 '출장 성매매' 알선||||가정집까지 노렸다…수도권 최대 출장 성매매 조직 적발||||""가정집에도 갑니다""…41개 사이트로 출장 성매매, 1만 명 적발||||가정집까지 침투한 출장 성매매···수도권 최대규모 업주 검거||||코로나 틈타 가정집까지 파고든 성매매…경찰, 수도권 최대 규모 적발",'1만 명',"'10,000'"
10,"'바달집3' 공명, 천우희에 ""더 쪼끄맣고 귀여워져"" 설렘 멘트 폭발||||'바퀴달린집3' 천우희X조현철, 푸짐한 한상에 밥 두 공기 뚝딱…""오길 잘했다""[종합]||||[종합]'바퀴달린집3' 연기천재 천우희x조현철 출격…성동일 ""오랜만에 마음 맞네""||||공명, 엉망진창 천우희에 ""거울 안 봐도 예뻐""…달달함 폭발 (바달집3)[종합]||||'바달집3' 성동일 ""천우희, 우울한 영화만 찍어 어두울 줄"" 깨발랄 성격에 깜짝",,
11,"[날씨] 전국 오락가락 '비'…한낮 서울 21도 · 부산 22도||||[날씨] 전국 흐리고 비…일부 내륙 우박 조심||||[오늘의 날씨]2021년 5월 27일 전국에 비…출근길 우산 꼭 챙기세요||||[날씨]27일 우산 챙기세요…전국 흐리고 비||||[오늘의 날씨] 27일, 전국에 비…오후부터 그쳐요",,
12,"예비부부들 ""결혼 좀 하자…먹지도 않는 밥값만 천만원""||||[포착] '못참겠다 결혼 좀 하자' 예비부부들 화환 시위||||""결혼 좀 하게 해 주세요""…뿔난 예비부부들, 방역지침 비판 시위||||""우리도 결혼 좀 합시다""…뿔난 예비부부들 화환 시위||||""망친 내 결혼"" 뿔난 예비부부들, 정부청사서 '화환시위'",,
13,"문대통령, 수능 방역현장 점검…""수험생 안전에 최선""||||文대통령, D-4 수능 대비 시험장 방역 준비 상황 점검||||수능 앞두고 시험장 찾은 文대통령…코로나19 방역 점검||||수능시험장 찾은 文대통령 ""방역준비 철저히 해달라""||||문대통령, '수능 D-4' 방역현장 점검…""수험생 안전 최선""",,
14,"화이자-바이오엔테크 백신, 5∼11세 아동에 91% 예방효과||||화이자 ""5~11세 예방 효과 90%↑"" 저연령층 접종 승인 초읽기||||화이자 ""바이오엔테크와 개발한 코로나 백신, 어린이에 90% 예방효과""||||화이자 백신, 5~11세 어린이에 90.7% 예방효과||||화이자 ""코로나19 백신 아동 접종 효과 91%""",'91%'||||'90%'||||'90%'||||'90.7%'||||'91%','91'||||'90'||||'90'||||'90.7'||||'91'
15,"'현존 최고의 코로나19 백신' 굳혀가는 모더나…대부분 연구에서 화이자에 勝||||""모더나가 화이자보다 효과 더 오래간다""||||화이자보다 모더나가 낫다?…""효과 좀 더 좋고 오래가""||||NYT ""모더나 백신, 화이자보다 효과 오래 지속""||||""시간 지난 뒤 백신효과 따지면 모더나가 화이자보다 낫다""",,
